1	50     0 0 -90 -90 0
2	49.005 0 0 -90 -90 0
3	48.02  0 0 -90 -90 0
4	47.045 0 0 -90 90 0
5	46.08  0 0 -90 90 0
6	45.125 0 0 -90 90 0
7	44.18  0 0 -90 90 0
8	43.245 0 0 -90 90 0
9	42.32  0 0 -90 90 0
10	41.405 0 0 -90 90 0
11	40.5   0 0 -90 90 0
12	39.605 0 0 -90 90 0
13	38.72  0 0 -90 90 0
14	37.845 0 0 -90 90 0
15	36.98  0 0 -90 90 0
16	36.125 0 0 -90 90 0
17	35.28  0 0 -90 90 0
18	34.445 0 0 -90 90 0
19	33.62  0 0 -90 90 0
20	32.805 0 0 -90 90 0
21	32     0 0 -90 90 0
22	31.205 0 0 -90 90 0
23	30.42  0 0 -90 90 0
24	29.645 0 0 -90 90 0
25	28.88  0 0 -90 90 0
26	28.125 0 0 -90 90 0
27	27.38  0 0 -90 90 0
28	26.645 0 0 -90 90 0
29	25.92  0 0 -90 90 0
30	25.205 0 0 -90 90 0
31	24.5   0 0 -90 90 0
32	23.805 0 0 -90 90 0
33	23.12  0 0 -90 90 0
34	22.445 0 0 -90 90 0
35	21.78  0 0 -90 90 0
36	21.125 0 0 -90 90 0
37	20.48  0 0 -90 90 0
38	19.845 0 0 -90 90 0
39	19.22  0 0 -90 90 0
40	18.605 0 0 -90 90 0
41	18     0 0 -90 90 0
42	17.405 0 0 -90 90 0
43	16.82  0 0 -90 90 0
44	16.245 0 0 -90 90 0
45	15.68  0 0 -90 90 0
46	15.125 0 0 -90 90 0
47	14.58  0 0 -90 90 0
48	14.045 0 0 -90 90 0
49	13.52  0 0 -90 90 0
50	13.005 0 0 -90 90 0
51	12.5   0 0 -90 90 0
52	12.005 0 0 -90 90 0
53	11.52  0 0 -90 90 0
54	11.045 0 0 -90 90 0
55	10.58  0 0 -90 90 0
56	10.125 0 0 -90 90 0
57	9.68   0 0 -90 90 0
58	9.245  0 0 -90 90 0
59	8.82   0 0 -90 90 0
60	8.405  0 0 -90 90 0
61	8      0 0 -90 90 0
62	7.605  0 0 -90 90 0
63	7.22   0 0 -90 90 0
64	6.845  0 0 -90 90 0
65	6.48   0 0 -90 90 0
66	6.125  0 0 -90 90 0
67	5.78   0 0 -90 90 0
68	5.445  0 0 -90 90 0
69	5.12   0 0 -90 90 0
70	4.805  0 0 -90 90 0
71	4.5    0 0 -90 90 0
72	4.205  0 0 -90 90 0
73	3.92   0 0 -90 90 0
74	3.645  0 0 -90 90 0
75	3.38   0 0 -90 90 0
76	3.125  0 0 -90 90 0
77	2.88   0 0 -90 90 0
78	2.645  0 0 -90 90 0
79	2.42   0 0 -90 90 0
80	2.205  0 0 -90 90 0
81	2      0 0 -90 90 0
82	1.805  0 0 -90 90 0
83	1.62   0 0 -90 90 0
84	1.445  0 0 -90 90 0
85	1.28   0 0 -90 90 0
86	1.125  0 0 -90 90 0
87	0.98   0 0 -90 90 0
88	0.845  0 0 -90 90 0
89	0.72   0 0 -90 90 0
90	0.605  0 0 -90 90 0
91	0.5    0 0 -90 90 0
92	0.405  0 0 -90 90 0
93	0.32   0 0 -90 90 0
94	0.245  0 0 -90 90 0
95	0.18   0 0 -90 90 0
96	0.125  0 0 -90 90 0
97	0.08   0 0 -90 90 0
98	0.045  0 0 -90 90 0
99	0.02   0 0 -90 90 0
100	0.005  0 0 -90 90 0
101	0      0 0 -90 90 0
	
	
	
	
	
	
	
	
	
	
